attraction_ilyas_kaya	Гора Ильяс-Кая (685 м)	Ласпи	район Ласпи и Фороса, Байдарская яйла	44.4158	33.7389
attraction_enikale_krepost	Еникальская крепость	Керчь	Керчь, район Еникальского шоссе, берег Керченского пролива	45.350833	36.603056
attraction_kalamita_krepost	Инкерманская крепость Каламита	Инкерман	Инкерман, Монастырская скала, рядом со Свято-Климентовским монастырём	44.603475	33.608926
attraction_kush_kaya	Гора Куш-Кая	Ласпи	район бухты Ласпи и урочища Батилиман	44.425131	33.67988
attraction_sapun_gora	Сапун-гора, Севастополь	Севастополь	Ялтинское шоссе, мемориальный комплекс Сапун-гора	44.552	33.584
attraction_babugan_yayla	Бабуган-яйла	Алушта	Главная гряда Крымских гор, территория Крымского природного заповедника	44.63	34.29
attraction_chilter_marmara	Гора Чилтер-Кая и пещерный монастырь Чилтер-Мармара	Терновка	район села Терновка, гора Чилтер-Кая	44.5956	33.732
attraction_meganom	Мыс-гора Меганом	Судак	юго-восточнее Судака, район Капселя и Солнечной Долины	44.794156	35.080172
attraction_ai_georgiy	Гора Ай-Георгий	Судак	восточнее Судака, район посёлка Долинный	44.86749	35.0178
attraction_haphal_demerdzhi	Хапхал, Демерджи-яйла и водопад Джур-Джур	Генеральское	ущелье Хапхал, район села Генеральское	44.809281	34.445805
attraction_smotrovaya_ai_petri	Смотровая Ай-Петри, 1234 м	Ай-Петри	плато Ай-Петри над Алупкой, Кореизом и Мисхором	44.451625	34.060326
attraction_besedka_vetrov	Беседка Ветров, гора Шаган-Кая	Гурзуф	гора Шаган-Кая, Гурзуфская яйла	44.578106	34.225293
attraction_laspinskiy_pereval	Ласпинский перевал, смотровая площадка	Ласпи	дорога Севастополь — Ялта, район бухты Ласпи	44.428279	33.707473
attraction_smotrovaya_mysa_fiolent	Смотровая мыса Фиолент	Фиолент	мыс Фиолент, Балаклавский район Севастополя	44.50062	33.48759
attraction_smotrovaya_gory_koshka_simeiz	Смотровая горы Кошка, Симеиз	Симеиз	гора Кошка, Симеиз	44.4034	33.9976
attraction_smotrovaya_u_forosskoj_cerkvi	Смотровая у Форосской церкви	Форос	Красная скала над Форосом, рядом с храмом Воскресения Христова	44.4049	33.7881
attraction_smotrovaya_gory_alchak_sudak	Смотровая горы Алчак, Судак	Судак	восточная окраина Судака, мыс Алчак-Кая	44.835	34.994729
attraction_smotrovaya_mysa_plaka	Смотровая мыса Плака	Утёс	мыс Плака, посёлок Утёс	44.591175	34.367648
attraction_ploshchadka_kamennyj_naves	Площадка Каменный навес	Аю-Даг	гора Аю-Даг, район Партенита и Гурзуфа	44.5587	34.3326
attraction_smotrovaya_chufut_kale_burulchak	Смотровая Чуфут-Кале, плато Бурульчак	Бахчисарай	плато Чуфут-Кале над Бахчисараем	44.731944	33.933056
attraction_serebryanaya_besedka_yalta_bakhchisaray	Смотровая Серебряная беседка	Ай-Петри	дорога Ялта — Ай-Петри — Бахчисарай, гора Пендикюль	44.4701	34.08315
attraction_baydarskie_vorota	Байдарские ворота	Форос	Байдарский перевал, старая дорога между Байдарской долиной и Форосом	44.406242	33.781932
attraction_smotrovaya_gory_sokol_novyj_svet	Смотровая горы Сокол, Новый Свет	Новый Свет	гора Сокол между Судаком и Новым Светом	44.836333	34.925215
attraction_hram_ioanna_predtechi_kerch	Храм Святого Иоанна Предтечи	Керчь	пер. Димитрова, 2	45.351405	36.476034
attraction_sasyk_sivash_rozovoe_ozero	Озеро Сасык-Сиваш (Розовое озеро)	Саки	между Евпаторией и Саками, район Прибрежного	45.187484	33.506504
attraction_storozhevoy_utes_smotrovaya	Смотровая площадка «Сторожевой утёс»	Соколиное	район Большого каньона Крыма	44.528127	34.019346
attraction_smotrovaya_gory_mitridat_kerch	Смотровая площадка горы Митридат	Керчь	гора Митридат, центр Керчи	45.350701	36.469735
attraction_shaytan_merdven_smotrovaya	Смотровая площадка «Шайтан-Мердвен»	Форос	район Фороса и старого перевала Шайтан-Мердвен	44.446047	33.834918
attraction_park_ayvazovskoe_partenit	Парк «Айвазовское» в Партените	Партенит	ул. Васильченко, 1А	44.582646	34.344238
attraction_karantinnye_vorota_feodosiya	Крепостные ворота «Карантин»	Феодосия	Карантинный холм, старая часть Феодосии	45.022255	35.39912
attraction_centr_vinodeliya_massandra	Центр Виноделия Массандра	Массандра	ул. Винодела Егорова, 9, Массандра	44.5189	34.1884
attraction_zavod_shampanskih_vin_novyy_svet	Завод шампанских вин «Новый Свет»	Новый Свет	ул. Шаляпина, 1, Новый Свет	44.8285	34.9133
attraction_zavod_inkerman	Завод «Инкерман»	Инкерман	ул. Малиновского, 20, Инкерман	44.6101	33.6027
attraction_zavod_koktebel	Завод «Коктебель»	Коктебель	Коктебель, район Щебетовки	44.938	35.158
attraction_solnechnaya_dolina_vinodelnya	Завод «Солнечная долина»	Солнечная Долина	с. Солнечная Долина, Судакский регион	44.858945	35.04787
attraction_polyana_skazok_yalta	Поляна сказок	Ялта	ул. Кирова, район Поляны сказок, Ялта	44.4953	34.1011
attraction_yaltinskiy_zoopark_skazka	Ялтинский зоопарк «Сказка»	Ялта	ул. Кирова, 156, Ялта	44.4958	34.1002
attraction_istochnik_paniya_bolshoy_kanon	Источник Пания	Большой каньон Крыма	Большой каньон Крыма, район села Соколиное	44.522222	34.003333
attraction_krymskaya_astrofizicheskaya_observatoriya	Крымская астрофизическая обсерватория	Научный	пгт Научный, Бахчисарайский район	44.7277	34.013
attraction_simferopolskoe_vodohranilishche	Симферопольское водохранилище	Симферополь	юго-восточная окраина Симферополя, район Лозового	44.923187	34.154657
attraction_yashmovy_plyazh_fiolent	Яшмовый пляж	Фиолент	мыс Фиолент, район Георгиевского монастыря	44.5047	33.507
attraction_kara_dag_krym	Кара-Даг	Коктебель	между Коктебелем и Курортным, восточный Крым	44.9141	35.2308
attraction_tihaya_buhta_koktebel	Тихая бухта	Коктебель	между Коктебелем и Орджоникидзе	44.967924	35.309895
attraction_smotrovaya_simferopol_holm	Смотровая площадка в Симферополе на холме	Симферополь	район Макуриной горки и Студенческой улицы, Симферополь	44.9526	34.108
attraction_smotrovaya_mysa_ayya	Смотровая площадка мыса Айя	Балаклава	район заказника «Мыс Айя», Балаклавский район Севастополя	44.4272616	33.6561862
attraction_smotrovaya_mangup_kale	Смотровая Мангуп-Кале	Ходжа-Сала	плато Мангуп-Кале, район села Ходжа-Сала	44.6	33.8
