attraction_privettur_morskoy_konek_alushta	morskoy-konek-alushta	«Морской конек»	Алушта	44.67809	34.413725	Алушта	«Морской конек»	1
attraction_vodopad_golovkinskogo	vodopad-golovkinskogo	Водопад Головкинского	Алушта	44.668462	34.303285	Алушта	Водопад Головкинского	1
attraction_privettur_vodopad_geyzer_alushta	vodopad-geyzer-alushta	Водопад Гейзер	Алушта	44.673993	34.413295	Алушта	Водопад Гейзер	1
attraction_new_alushtinskiy_akvarium	alushtinskiy-akvarium	Алуштинский аквариум	Алушта	44.71237	34.45703	Алушта	Алуштинский аквариум	1
attraction_new_delfinariy_akvarel	delfinariy-akvarel	Дельфинарий "Акварель"	Алушта	44.670695	34.409483	Алушта	Дельфинарий «Акварель»	1
attraction_privettur_delfinariy_nemo_alushta	delfinariy-nemo-alushta	Дельфинарий «Немо»	Алушта	44.677963	34.406418	Алушта	Дельфинарий «Немо»	1
attraction_new_naberezhnaya_alushty	naberezhnaya-alushty	Набережная Алушты	Алушта	44.680134	34.378661	Алушта	Набережная Алушты	1
attraction_new_akvapark_mindalnaya_roshcha	akvapark-mindalnaya-roshcha	Аквапарк Миндальная роща	Алушта	44.658339	34.406149	Алушта	Аквапарк «Миндальная роща»	1
attraction_privettur_tsentralnyy_plyazh_gaspry_gaspra	tsentralnyy-plyazh-gaspry-gaspra	Центральный пляж Гаспры	Гаспра	44.431661	34.098702	Гаспра	Центральный пляж Гаспры	1
attraction_privettur_plyazh_sanatoriya_yasnaya_polyana_gaspra	plyazh-sanatoriya-yasnaya-polyana-gaspra	Пляж санатория «Ясная поляна»	Гаспра	44.435098	34.105909	Гаспра	Пляж санатория «Ясная поляна»	1
attraction_privettur_plyazh_pansionata_marat_gaspra	plyazh-pansionata-marat-gaspra	Пляж пансионата «Марат»	Гаспра	44.430772	34.099372	Гаспра	Пляж пансионата «Марат»	1
attraction_privettur_skaypark_trolley_gaspra	skaypark-trolley-gaspra	Скайпарк-троллей	Гаспра	44.430208	34.10008	Гаспра	Скайпарк-троллей	1
attraction_privettur_gorodskoy_plyazh_gurzufa_gurzuf	gorodskoy-plyazh-gurzufa-gurzuf	Городской пляж Гурзуфа	Гурзуф	44.544021	34.277045	Гурзуф	Городской пляж Гурзуфа	1
attraction_new_naberezhnaya_gurzufa	naberezhnaya-gurzufa	Набережная Гурзуфа	Гурзуф	44.552656	34.286637	Гурзуф	Гурзуфская набережная	1
attraction_privettur_muzey_pushkina_dom_rishele_gurzuf	muzey-pushkina-dom-rishele-gurzuf	Музей Пушкина / Дом Ришелье	Гурзуф	44.548551	34.283636	Гурзуф	Музей Пушкина / Дом Ришелье	1
attraction_privettur_dacha_k_a_korovina_gurzuf	dacha-k-a-korovina-gurzuf	Дача К. А. Коровина	Гурзуф	44.543275	34.277672	Гурзуф	Дача К. А. Коровина	1
attraction_privettur_dom_muzey_chehova_gurzuf	dom-muzey-chehova-gurzuf	Дом-музей Чехова	Гурзуф	44.550199	34.28033	Гурзуф	Дом-музей Чехова	1
attraction_new_skala_shalyapina_gurzuf	skala-shalyapina-gurzuf	Скала Шаляпина — достопримечательность Крыма	Гурзуф	44.545437	34.284327	Гурзуф	Скала Шаляпина	0.8
attraction_privettur_rybolovnyy_klub_krasnyy_kamen_gurzuf	rybolovnyy-klub-krasnyy-kamen-gurzuf	Рыболовный клуб «Красный камень»	Гурзуф	44.550113	34.281232	Гурзуф	Рыболовный клуб «Красный камень»	1
attraction_privettur_tsentralnyy_plyazh_katsiveli_katsiveli	tsentralnyy-plyazh-katsiveli-katsiveli	Центральный пляж Кацивели	Кацивели	44.393768	33.977713	Кацивели	Центральный пляж Кацивели	1
attraction_privettur_krymskaya_observatoriya_katsiveli	krymskaya-observatoriya-katsiveli	Крымская обсерватория	Кацивели	44.396353	33.970205	Кацивели	Крымская обсерватория	1
attraction_privettur_ferma_ustrits_katsiveli	ferma-ustrits-katsiveli	Ферма устриц	Кацивели	44.397836	33.971449	Кацивели	Ферма устриц	1
attraction_privettur_tsentralnyy_plyazh_malorechenskogo_malorechenskoe	tsentralnyy-plyazh-malorechenskogo-malorechenskoe	Центральный пляж Малореченского	Малореченское	44.756468	34.560287	Малореченское	Центральный пляж Малореченского	1
attraction_privettur_muzey_katastrof_na_vodah_malorechenskoe	muzey-katastrof-na-vodah-malorechenskoe	Музей катастроф на водах	Малореченское	44.754572	34.561275	Малореченское	Музей катастроф на водах	1
attraction_privettur_plyazh_rusalochka_mishor	plyazh-rusalochka-mishor	Пляж «Русалочка»	Мисхор	44.435351	34.081764	Мисхор	Пляж «Русалочка»	1
attraction_privettur_usadba_sofievka_mishor	usadba-sofievka-mishor	Усадьба «Софиевка»	Мисхор	44.429291	34.086498	Мисхор	Усадьба «Софиевка»	1
attraction_privettur_dvorets_kichkine_mishor	dvorets-kichkine-mishor	Дворец «Кичкинэ»	Мисхор	44.432791	34.088995	Мисхор	Дворец «Кичкинэ»	1
attraction_miskhorskiy_park	miskhorskiy-park	Мисхорский парк	Мисхор	44.4297	34.0919	Мисхор	Мисхорский парк	1
